,year,Australia sales,Average sales,China sales,Australia shares,Average shares,Norway shares
0,2010,,366,1440,,0.02634166671325356,0.280000001192093
1,2011,49.0,1806,5120,0.00650000013411,0.11516518424657447,1.39999997615814
2,2012,250.0,4073,9860,0.029999999329448,0.2718206864886051,3.09999990463257
3,2013,290.0,6413,15730,0.034000001847744,0.5526753156850644,5.80000019073486
4,2014,1320.0,10236,73000,0.159999996423721,0.9660250020751844,15.0
5,2015,1760.0,12584,211000,0.200000002980232,1.215745460040952,22.0
6,2016,1370.0,16840,339000,0.150000005960464,1.4411555670615699,29.0
7,2017,2300.0,25994,580000,0.259999990463257,2.093222219331397,39.0
8,2018,3600.0,43971,1090000,0.419999986886978,3.048377751890156,49.0
9,2019,9200.0,43309,1060000,1.20000004768372,3.741612236186558,56.0
10,2020,6900.0,60825,1140000,1.10000002384186,7.878916650700073,75.0
11,2021,20444.0,133455,3250019,2.79999995231628,12.14036735101622,86.0
12,2022,38915.0,207420,5900240,5.09999990463257,15.11897961673688,89.0
13,2023,98006.0,277396,8100520,12.0,18.81836735168282,93.0
