Year,Automotive Fuel,CPI
1972,100.0,100.0
1972,100.0,100.9
1973,98.55,102.7
1973,98.55,106.31
1973,101.45,109.91
1973,113.04,113.51
1974,114.49,117.12
1974,115.94,121.62
1974,120.29,127.93
1974,120.29,132.43
1975,134.78,137.84
1975,137.68,142.34
1975,136.23,143.24
1975,150.72,151.35
1976,153.62,155.86
1976,149.28,159.46
1976,152.17,163.06
1976,152.17,172.97
1977,157.97,176.58
1977,155.07,181.08
1977,157.97,184.68
1977,172.46,189.19
1978,171.01,191.89
1978,171.01,195.5
1978,171.01,199.1
1978,207.25,203.6
1979,213.04,207.21
1979,234.78,212.61
1979,253.62,218.02
1979,281.16,224.32
1980,273.91,228.83
1980,313.04,236.04
1980,301.45,239.64
1980,308.7,245.05
1981,331.88,250.45
1981,363.77,255.86
1981,342.03,261.26
1981,356.52,272.07
1982,349.28,277.48
1982,359.42,283.78
1982,404.35,293.69
1982,404.35,302.7
1983,420.29,309.01
1983,401.45,315.32
1983,430.43,320.72
1983,450.72,328.83
1984,449.28,327.03
1984,465.22,327.93
1984,469.57,332.43
1984,465.22,336.94
1985,475.36,341.44
1985,520.29,349.55
1985,533.33,357.66
1985,514.49,364.86
1986,527.54,372.97
1986,468.12,379.28
1986,497.1,389.19
1986,530.43,400.0
1987,542.03,408.11
1987,526.09,414.41
1987,523.19,421.62
1987,544.93,428.83
1988,547.83,436.04
1988,514.49,444.14
1988,511.59,452.25
1988,498.55,461.26
1989,498.55,465.77
1989,540.58,477.48
1989,549.28,488.29
1989,573.91,497.3
1990,611.59,506.31
1990,611.59,514.41
1990,644.93,518.02
1990,778.26,531.53
1991,657.97,530.63
1991,621.74,531.53
1991,656.52,534.23
1991,653.62,539.64
1992,646.38,539.64
1992,649.28,537.84
1992,676.81,538.74
1992,672.46,541.44
1993,650.72,545.95
1993,656.52,547.75
1993,657.97,550.45
1993,663.77,551.35
1994,636.23,554.05
1994,666.67,557.66
1994,669.57,561.26
1994,653.62,565.77
1995,666.67,574.77
1995,678.26,582.88
1995,704.35,590.09
1995,694.2,594.59
1996,691.3,596.4
1996,711.59,600.9
1996,697.1,602.7
1996,715.94,603.6
1997,727.54,604.5
1997,715.94,602.7
1997,710.14,600.0
1997,717.39,601.8
1998,686.96,603.6
1998,692.75,607.21
1998,676.81,608.11
1998,666.67,610.81
1999,649.28,610.81
1999,684.06,613.51
1999,743.48,618.92
1999,749.28,622.52
2000,807.25,627.93
2000,833.33,632.43
2000,920.29,656.76
2000,931.88,658.56
2001,898.55,665.77
2001,926.09,671.17
2001,849.28,672.97
2001,818.84,679.28
2002,818.84,685.59
2002,879.71,690.09
2002,869.57,694.59
2002,885.51,699.1
2003,960.87,708.11
2003,868.12,708.11
2003,894.2,712.61
2003,886.96,716.22
2004,915.94,722.52
2004,969.57,726.13
2004,1002.9,728.83
2004,1027.54,734.23
2005,1000.0,739.64
2005,1071.01,744.14
2005,1195.65,751.35
2005,1184.06,754.95
2006,1201.45,761.26
2006,1336.23,773.87
2006,1320.29,781.08
2006,1156.52,780.18
2007,1173.91,780.18
2007,1279.71,790.09
2007,1231.88,795.5
2007,1321.74,802.7
2008,1394.2,813.51
2008,1514.49,825.23
2008,1544.93,835.14
2008,1263.77,832.43
2009,1162.32,833.33
2009,1204.35,836.94
2009,1252.17,845.05
2009,1217.39,849.55
2010,1268.12,857.66
2010,1295.65,863.06
2010,1247.83,869.37
2010,1273.91,872.97
2011,1385.51,885.59
2011,1440.58,893.69
2011,1421.74,899.1
2011,1431.88,899.1
2012,1466.67,900.0
2012,1476.81,904.5
2012,1418.84,917.12
2012,1455.07,918.92
2013,1472.46,922.52
2013,1427.54,926.13
2013,1536.23,936.94
2013,1518.84,944.14
2014,1581.16,949.55
2014,1537.68,954.05
2014,1498.55,958.56
2014,1397.1,960.36
2015,1226.09,962.16
2015,1375.36,968.47
2015,1352.17,972.97
2015,1275.36,976.58
2016,1147.83,974.77
2016,1215.94,978.38
2016,1181.16,985.59
2016,1260.87,990.99
2017,1333.33,995.5
2017,1300.0,997.3
2017,1269.57,1003.6
2017,1401.45,1009.91
2018,1414.49,1014.41
2018,1511.59,1018.02
2018,1533.33,1022.52
2018,1495.65,1027.93
2019,1365.22,1027.93
2019,1504.35,1034.23
2019,1473.91,1039.64
2019,1539.13,1046.85
2020,1446.38,1050.45
2020,1166.67,1030.63
2020,1276.81,1046.85
2020,1282.61,1055.86
2021,1394.2,1062.16
2021,1485.51,1070.27
2021,1591.3,1078.38
2021,1697.1,1092.79
