,Vehicle,Cost per km,Cost per 100 km
0,TOYOTA Prius,0.07630030946789473,7.630030946789474
4,HYUNDAI Elantra Hybrid Blue,0.08053921554944445,8.053921554944445
6,KIA Niro FE,0.08205882339000001,8.205882339
11,TOYOTA Camry Hybrid LE,0.08363687768596155,8.363687768596154
10,TOYOTA Prius XLE/LTD,0.08363687768596155,8.363687768596154
15,TOYOTA Corolla Hybrid,0.0869823527934,8.69823527934
12,HYUNDAI Elantra Hybrid,0.0869823527934,8.69823527934
19,KIA Niro,0.08875750285040816,8.875750285040816
21,HONDA Accord,0.090606617493125,9.0606617493125
27,HYUNDAI Sonata Hybrid,0.09253441786531914,9.253441786531914
28,TOYOTA Camry Hybrid SE/XLE/XSE,0.094546035645,9.4546035645
34,HONDA Accord Sport/Touring,0.09884358271977271,9.884358271977272
31,LEXUS ES 300h,0.09884358271977271,9.884358271977272
36,KIA Sportage Hybrid,0.10114227069,10.114227069
